libcell, Min_delay,Average_delay,Max_delay
OAI2XB1_X2N_A9PP84TSL_C14,0.019,0.019,0.019
AOI22_X6F_A9PP84TSL_C14,0.019,0.019,0.019
BUF_X5N_A9PP84TL_C14,0.015,0.015,0.015
MX2_X2N_A9PP84TSL_C14,0.013,0.017,0.025
NAND3_X1N_A9PP84TR_C16,0.010,0.0215,0.033
MX2_X2N_A9PP84TSL_C16,0.013,0.0157,0.017
OAI22_X2R_A9PP84TR_C14,0.017,0.0175,0.019
INV_X10N_A9PP84TSL_C14,0.004,0.0094,0.017
AOI22BB_X1N_A9PP84TR_C16,0.009,0.018,0.027
AOI21_X4N_A9PP84TL_C16,0.046,0.046,0.046
NOR2_X6F_A9PP84TSL_C14,0.012,0.012,0.012
INV_X10N_A9PP84TSL_C16,0.004,0.0055,0.010
BUFH_X3N_A9PP84TSL_C14,0.017,0.0228,0.032
